How old are you?,Sector?,Organisation name?,What Sport?,Ethnic Background,Ethnic Background Freetext,Have you ever gambled?,"If Yes, Why?","If No, Why?",Types of Gambling tried,How often do you gamble?,Has Gambling caused you Problems,"If Yes, Please Describe",Someone elses gambling caused you problems,"If Yes, Please Describe",Advertising seen in the last week,Advertising seen - free text,"Ever used a free bet, bonus or boost?",Should gambling be advertised after 9pm,Has it become normalised?,Do you know someone who has been impacted,Like to speak to us about gambling?,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,,,Gambling with friends ,Monthly,,,No,,"Social media (Instagram, TikTok, Snapchat, etc.), I haven’t seen any gambling ads this week",,No,Yes,No,No,,,,,,,,,,,
,Further Education - College,Kirklees College,,"Mixed (White and Black Caribbean, White and Black African, White and Asian Any other Mixed or multiple ethnic background)",,No,,Because I don’t wanna spend money on it,,,No,,No,,,,No,,Yes,,,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,No,,Just never interested me,,Never,No,,No,,"TV / Live Sports Coverage, Social media (Instagram, TikTok, Snapchat, etc.)",,No,No,Yes,No,,,,,,,,,,,
,Community/Foundation,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,football and horse racing,,In-Play Sports Betting - Betting during live events,Weekly,No,,No,,TV / Live Sports Coverage,,Yes,Yes,Yes,Yes,,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,Money,,"Sports Betting – Online or in-person, Online Slot Games, Fruit Machines ",,No,,No,,,,Yes,Yes,Yes,No,,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,Prmotions,,Online Slot Games,Every few months,No,,No,,"Social media (Instagram, TikTok, Snapchat, etc.)",,Yes,No,Yes,No,,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,Loved the bandit at pub,,Sports Betting – Online or in-person,Weekly,No,,No,,TV / Live Sports Coverage,,Yes,Yes,Yes,No,,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,football,,Sports Betting – Online or in-person,Couple of times per year,No,,No,,TV / Live Sports Coverage,,No,No,Yes,No,,,,,,,,,,,
,Further Education - College,Kirklees College,,"Mixed (White and Black Caribbean, White and Black African, White and Asian Any other Mixed or multiple ethnic background)",,Yes,Wining money,,Gambling with friends ,Couple of times per year,No,,No,,"Social media (Instagram, TikTok, Snapchat, etc.)",,No,Yes,Yes,No,,,,,,,,,,,
,Further Education - College,Kirklees College,,"White (English, Welsh, Scottish, Northern Irish or British, Irish, Gypsy or Irish Traveller, Roma)",,Yes,just the chance to win money and the risk,,"Online Casino Games – roulette, blackjack, National Lottery or Scratchcards, Online Slot Games, Fruit Machines ",Monthly,No,,No,,TV / Live Sports Coverage,,No,No,Yes,No,,,,,,,,,,,
